voice1,task_1_raw,task_1_duration,task_2,task_2_raw,task_2_duration,old,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,expName,frameRate,participant,session,date,
,,,,,,,,,,,down,1.0457318320000013,,,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_17.wav,1,2,None,None,None,None,0,0,0,13,,,down,1.603689882000026,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_13.wav,1,2,None,None,None,None,0,1,1,9,,,down,1.8726195369999914,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_10.wav,2,3,None,None,None,None,0,2,2,6,,,down,1.821484880000071,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_07.wav,2,3,None,None,None,None,0,3,3,3,,,down,1.9173334049999085,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_06.wav,1,2,pepper_sydney/sentence_03,3.0,4.0,None,0,4,4,2,,,down,1.1662474010001915,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_04.wav,1,2,pepper_sydney/sentence_01,2.0,3.0,None,0,5,5,0,,,down,2.6832078919999276,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_08.wav,1,2,None,None,None,None,0,6,6,4,,,down,1.7773415080000632,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_09.wav,2,3,None,None,None,None,0,7,7,5,,,down,0.9552380370000719,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
sounds/pepper_sydney/sentence_15.wav,1,2,None,None,None,None,0,8,8,11,,,down,2.0271023779998814,Robot_Voice,1895.68608191,,001,2018_Aug_23_1125,
