2.1165 	WARNING 	User requested fullscreen with size [1440  810], but screen is actually [1920, 1080]. Using actual size
2.3504 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f08a47c7860>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.3504 	EXP 	window1: recordFrameIntervals = False
2.3551 	EXP 	window1: recordFrameIntervals = True
2.3596 	EXP 	window1: recordFrameIntervals = False
2.4049 	EXP 	Created instText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='What is your user code?\n', units='norm', win=Window(...), wrapWidth=1)
2.4091 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='target', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
2.4127 	EXP 	Sound  set volume 1.000
2.4147 	EXP 	instText: autoDraw = True
3.4317 	DATA 	Keypress: down
3.4410 	EXP 	Imported sounds.xlsx as conditions, 14 conditions, 7 params
3.4413 	EXP 	Created sequence: random, trialTypes=14, nReps=1, seed=None
3.4417 	EXP 	New trial (rep=0, index=0): OrderedDict([('voice1', 'sounds/pepper_sydney/sentence_10.wav'), ('task_1_raw', 2), ('task_1_duration', 3), ('task_2', None), ('task_2_raw', None), ('task_2_duration', None), ('old', None)])
3.4457 	EXP 	instText: autoDraw = False
3.4457 	EXP 	target: text = 'default text'
3.9429 	EXP 	target: autoDraw = True
4.7169 	DATA 	Keypress: down
4.7176 	EXP 	New trial (rep=0, index=1): OrderedDict([('voice1', 'sounds/pepper_sydney/sentence_11.wav'), ('task_1_raw', 1), ('task_1_duration', 2), ('task_2', None), ('task_2_raw', None), ('task_2_duration', None), ('old', None)])
4.7215 	EXP 	target: autoDraw = False
4.7215 	EXP 	target: text = 'default text'
5.2186 	EXP 	target: autoDraw = True
6.0047 	DATA 	Keypress: down
6.0052 	EXP 	New trial (rep=0, index=2): OrderedDict([('voice1', 'sounds/pepper_sydney/sentence_06.wav'), ('task_1_raw', 1), ('task_1_duration', 2), ('task_2', 'sounds/pepper_sydney/sentence_03'), ('task_2_raw', 3.0), ('task_2_duration', 4.0), ('old', None)])
6.0140 	EXP 	target: autoDraw = False
6.0140 	EXP 	target: text = 'sounds/pepper_sydney/sentence_03'
6.5067 	EXP 	target: autoDraw = True
9.4953 	DATA 	Keypress: down
9.4962 	EXP 	New trial (rep=0, index=3): OrderedDict([('voice1', 'sounds/pepper_sydney/sentence_09.wav'), ('task_1_raw', 2), ('task_1_duration', 3), ('task_2', None), ('task_2_raw', None), ('task_2_duration', None), ('old', None)])
9.5009 	EXP 	target: autoDraw = False
9.5009 	EXP 	target: text = 'sounds/pepper_sydney/sentence_03'
9.9977 	EXP 	target: autoDraw = True
12.8416 	DATA 	Keypress: down
12.8424 	EXP 	New trial (rep=0, index=4): OrderedDict([('voice1', 'sounds/pepper_sydney/sentence_14.wav'), ('task_1_raw', 1), ('task_1_duration', 2), ('task_2', None), ('task_2_raw', None), ('task_2_duration', None), ('old', None)])
12.8495 	EXP 	target: autoDraw = False
12.8495 	EXP 	target: text = 'sounds/pepper_sydney/sentence_03'
13.3438 	EXP 	target: autoDraw = True
16.6231 	DATA 	Keypress: up
17.0636 	DATA 	Keypress: up
17.4646 	DATA 	Keypress: down
