voice1,task_1_raw,task_1_duration,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,expName,frameRate,date,session,participant,
,,,,,,,,down,3.065672340999754,,,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_06.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,0,0,2,,,down,1.1816118219999225,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_16.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,1,1,12,,,down,2.148692290999861,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_12.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,2,2,8,,,down,1.9651079330001266,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_13.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,3,3,9,,,down,1.8077163759999166,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_11.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,4,4,7,,,down,1.4455398320001223,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_15.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,5,5,11,,,down,1.5972385679997387,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_14.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,6,6,10,,,down,1.7418277599999783,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_10.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,7,7,6,,,down,1.937691090000044,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_05.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,8,8,1,,,down,1.505227080000168,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_07.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,9,9,3,,,down,1.4309502450000764,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_04.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,10,10,0,,,down,1.4400646439999036,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_17.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,11,11,13,,,down,1.2608195019997765,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_08.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,12,12,4,,,down,1.5610671199997341,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
sounds/pepper_sydney/sentence_09.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,13,13,5,,,down,1.4232265509999706,Robot_Voice,2526.2196335,2018_Aug_23_1154,001,,
