voice1,task_1_raw,task_1_duration,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,session,participant,frameRate,date,expName,
,,,,,,,,down,0.646667363999768,,,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_15.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,0,0,11,,,down,1.2376424919993951,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_17.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,1,1,13,,,down,0.8754254909999872,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_04.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,2,2,0,,,down,1.081942464000349,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_13.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,3,3,9,,,down,1.3905921669993404,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_10.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,4,4,6,,,down,1.211739263999334,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_05.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,5,5,1,,,down,1.3064766899997267,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_09.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,6,6,5,,,down,1.9426184859994464,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_08.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,7,7,4,,,down,1.0108091699994475,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_14.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,8,8,10,,,down,0.8703757180001048,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_07.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,9,9,3,,,down,1.351312159000372,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_12.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,10,10,8,,,down,1.4509812619999138,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_11.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,11,11,7,,,down,0.957400112999494,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_06.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,12,12,2,,,down,0.644193995999558,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
sounds/pepper_sydney/sentence_16.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,13,13,12,,,down,1.1465640790001999,001,,2179.50584479,2018_Aug_23_1209,Robot_Voice,
