task_1,task_1_raw,task_1_duration,task_2,dummy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,session,participant,frameRate,expName,date,
,,,,,,,,,down,0.6886599340004977,,,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_13.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,0,0,9,,,down,1.338867905999905,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_15.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,1,1,11,,,down,0.7599233640003149,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_07.wav,2,3,None,sounds/pepper_sydney/sentence_05.wav,0,2,2,3,,,down,0.31488033599998744,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_05.wav,2,3,sounds/pepper_sydney/sentence_02.wav,sounds/pepper_sydney/sentence_05.wav,0,3,3,1,,,down,1.1165944269996544,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_06.wav,1,2,sounds/pepper_sydney/sentence_03.wav,sounds/pepper_sydney/sentence_05.wav,0,4,4,2,,,down,0.35980878800000937,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_16.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,5,5,12,,,down,0.2896273870001096,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_09.wav,2,3,None,sounds/pepper_sydney/sentence_05.wav,0,6,6,5,,,down,0.3000530519993845,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_12.wav,2,3,None,sounds/pepper_sydney/sentence_05.wav,0,7,7,8,,,down,2.3445241300005364,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_11.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,8,8,7,,,down,2.1613513629999943,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_08.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,9,9,4,,,down,2.2633155319999787,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_17.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,10,10,13,,,down,0.2434976269996696,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_10.wav,2,3,None,sounds/pepper_sydney/sentence_05.wav,0,11,11,6,,,down,0.18516900299982808,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
sounds/pepper_sydney/sentence_04.wav,1,2,sounds/pepper_sydney/sentence_01.wav,sounds/pepper_sydney/sentence_05.wav,0,12,12,0,,,down,0.4001567269997395,001,,2118.04545056,Robot_Voice,2018_Aug_23_1216,
