8.0355 	WARNING 	User requested fullscreen with size [1440  810], but screen is actually [2880, 1620]. Using actual size
10.8153 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.8164 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000000134AB6D8>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([2880, 1620]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
10.8165 	EXP 	window1: recordFrameIntervals = False
11.0188 	EXP 	window1: recordFrameIntervals = True
11.1296 	WARNING 	t of last frame was 27.41ms (=1/36)
11.2130 	WARNING 	t of last frame was 27.33ms (=1/36)
11.2964 	WARNING 	t of last frame was 27.22ms (=1/36)
11.3798 	WARNING 	t of last frame was 27.33ms (=1/36)
11.4631 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
13.1028 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.1935 	EXP 	Created instText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
13.2019 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='target', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
13.2154 	EXP 	instText: autoDraw = True
16.4322 	DATA 	Keypress: left
16.4738 	EXP 	Imported conditions.xlsx as conditions, 6 conditions, 4 params
16.4744 	EXP 	Created sequence: random, trialTypes=6, nReps=5, seed=None
16.4750 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'word', u'blue'), (u'colour', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
16.4912 	EXP 	instText: autoDraw = False
16.4912 	EXP 	target: color = u'red (named)'
16.4912 	EXP 	target: text = u'blue'
16.9991 	EXP 	target: autoDraw = True
17.8649 	DATA 	Keypress: left
17.8660 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'word', u'blue'), (u'colour', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
17.8810 	EXP 	target: autoDraw = False
17.8810 	EXP 	target: color = u'blue (named)'
17.8810 	EXP 	target: text = u'blue'
18.3981 	EXP 	target: autoDraw = True
18.6979 	DATA 	Keypress: left
18.7002 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'word', u'green'), (u'colour', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
18.7244 	EXP 	target: autoDraw = False
18.7244 	EXP 	target: color = u'blue (named)'
18.7244 	EXP 	target: text = u'green'
19.2329 	EXP 	target: autoDraw = True
19.4980 	DATA 	Keypress: left
19.4988 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'word', u'green'), (u'colour', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
19.5147 	EXP 	target: autoDraw = False
19.5147 	EXP 	target: color = u'green (named)'
19.5147 	EXP 	target: text = u'green'
20.0161 	EXP 	target: autoDraw = True
20.6512 	DATA 	Keypress: left
20.6534 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'word', u'red'), (u'colour', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
20.6765 	EXP 	target: autoDraw = False
20.6765 	EXP 	target: color = u'green (named)'
20.6765 	EXP 	target: text = u'red'
21.1839 	EXP 	target: autoDraw = True
21.4997 	DATA 	Keypress: left
21.5003 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'word', u'red'), (u'colour', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
21.5163 	EXP 	target: autoDraw = False
21.5163 	EXP 	target: color = u'red (named)'
21.5163 	EXP 	target: text = u'red'
22.0338 	EXP 	target: autoDraw = True
22.3850 	DATA 	Keypress: left
22.3872 	EXP 	New trial (rep=1, index=0): OrderedDict([(u'word', u'blue'), (u'colour', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
22.4116 	EXP 	target: autoDraw = False
22.4116 	EXP 	target: color = u'blue (named)'
22.4116 	EXP 	target: text = u'blue'
22.9186 	EXP 	target: autoDraw = True
23.1523 	DATA 	Keypress: left
23.1545 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'word', u'red'), (u'colour', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
23.1791 	EXP 	target: autoDraw = False
23.1791 	EXP 	target: color = u'red (named)'
23.1791 	EXP 	target: text = u'red'
23.6857 	EXP 	target: autoDraw = True
23.9529 	DATA 	Keypress: left
23.9552 	EXP 	New trial (rep=1, index=2): OrderedDict([(u'word', u'blue'), (u'colour', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
23.9788 	EXP 	target: autoDraw = False
23.9788 	EXP 	target: color = u'red (named)'
23.9788 	EXP 	target: text = u'blue'
24.4862 	EXP 	target: autoDraw = True
24.8034 	DATA 	Keypress: left
24.8057 	EXP 	New trial (rep=1, index=3): OrderedDict([(u'word', u'green'), (u'colour', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
24.8317 	EXP 	target: autoDraw = False
